family,method,param,rmse,mae,n
loo_blend,hgb_lag,year=2024;w=0.3077,0.051388712441039375,0.03586531862568312,152
loo_blend,hgb_lag,year=2020;w=0.3066,0.055365569880089116,0.037953894862812865,222
loo_blend,hgb_lag,year=2019;w=0.3164,0.05731259324199468,0.03941170834382856,249
global_blend,hgb_lag,0.3,0.0625196365651102,0.042902087705084094,1114
global_blend,hgb_lag,0.25,0.06253669227941114,0.04285889305447828,1114
global_blend,hgb_lag,0.35,0.0625552232797409,0.04299647162220188,1114
global_blend,hgb_lag,0.2,0.06260634739886303,0.04285451444746954,1114
global_blend,hgb_lag,0.4,0.06264336270734576,0.04313805080433328,1114
global_blend,hgb_lag,0.15,0.0627284267008631,0.04289158419809739,1114
global_blend,hgb_lag,0.45,0.06278383351907547,0.04333070503612896,1114
global_blend,hgb_lag,0.1,0.06290262495687327,0.042974887771660454,1114
global_blend,hgb_lag,0.5,0.06297628553494532,0.04356631203098805,1114
